start_station_name,trip_count,latitude,longitude
Halsted St & Willow St,5199,41.913865,-87.64875500000002
Halsted St & Wrightwood Ave,7501,41.929143,-87.649077
Hermitage Ave & Polk St,4614,41.87151400000001,-87.669886
Indiana Ave & 26th St,1201,41.845687,-87.62248100000002
Indiana Ave & 31st St,1905,41.838842,-87.62185699999998
Indiana Ave & 40th St,311,41.82168,-87.6216
Indiana Ave & Roosevelt Rd,18834,41.867888,-87.623041
Jefferson St & Monroe St,10241,41.880422,-87.642746
Kedzie Ave & Milwaukee Ave,6875,41.929567,-87.70785699999998
Kedzie Ave & Palmer Ct,3965,41.921525,-87.70732199999998
Kimbark Ave & 53rd St,2169,41.799568,-87.594747
Kingsbury St & Erie St,13643,41.893626,-87.641527
LaSalle St & Illinois St,17464,41.890762,-87.631697
LaSalle St & Jackson Blvd,20466,41.878166,-87.631929
LaSalle St & Washington St,12650,41.882664,-87.63253
Lake Park Ave & 47th St,2573,41.809443,-87.591875
Lake Park Ave & 56th St,2981,41.793242,-87.58778199999998
Lake Shore Dr & Belmont Ave,12684,41.940775,-87.63919200000002
Lake Shore Dr & Diversey Pkwy,8459,41.932588,-87.636427
Lake Shore Dr & Monroe St,41326,41.880958,-87.616743
Lake Shore Dr & North Blvd,29208,41.911722,-87.626804
Lake Shore Dr & Ohio St,17387,41.89257,-87.614492
Lake Shore Dr & Wellington Ave,9945,41.936669,-87.636794
Lakeview Ave & Fullerton Pkwy,12129,41.92585800000001,-87.638973
Larrabee St & Armitage Ave,5322,41.918084,-87.643749
Larrabee St & Kingsbury St,17336,41.897764,-87.642884
Larrabee St & Menomonee St,4283,41.91468,-87.64331999999997
Larrabee St & North Ave,3414,41.91021,-87.6435
Larrabee St & Webster Ave,10556,41.921822,-87.64414000000002
Leavitt St & Armitage Ave,4050,41.917805,-87.682437
Leavitt St & Lawrence Ave,1832,41.968885,-87.684001
Leavitt St & North Ave,4163,41.910153,-87.68229000000002
Lincoln Ave & Addison St,2200,41.946176,-87.67330799999998
Lincoln Ave & Belle Plaine Ave,3894,41.955927,-87.679259
Lincoln Ave & Belmont Ave,4941,41.939365,-87.668385
Lincoln Ave & Diversey Pkwy,7035,41.932225,-87.658617
Lincoln Ave & Fullerton Ave,7707,41.925905,-87.64926
Lincoln Ave & Roscoe St,6911,41.94334,-87.67097
Lincoln Ave & Waveland Ave,3919,41.948797,-87.675278
Logan Blvd & Elston Ave,3479,41.929465,-87.684158
Loomis St & Jackson Blvd,3349,41.877945,-87.66200699999997
Loomis St & Lexington St,4832,41.872187,-87.661501
MLK Jr Dr & 29th St,1975,41.842052,-87.617
MLK Jr Dr & 47th St,207,41.809851,-87.616279
Marshfield Ave & Cortland St,10630,41.916017,-87.668879
May St & Cullerton St,812,41.855136,-87.654127
May St & Taylor St,5270,41.8694821,-87.6554864
McClurg Ct & Illinois St,22377,41.890359,-87.617532
McCormick Place,5779,41.851375173,-87.618834649
Michigan Ave & 14th St,7135,41.86405900000001,-87.623727
Michigan Ave & 18th St,8836,41.857813,-87.62455
Michigan Ave & Jackson Blvd,18598,41.87785,-87.62408
Michigan Ave & Lake St,20916,41.886024,-87.624117
Michigan Ave & Madison St,12033,41.882134,-87.625125
Michigan Ave & Oak St,34668,41.90096039,-87.62377664
Michigan Ave & Pearson St,16176,41.89766,-87.62351
Michigan Ave & Washington St,22129,41.88355,-87.62418000000002
Mies van der Rohe Way & Chicago Ave,15441,41.89691,-87.62174300000002
Millennium Park,32075,41.8810317,-87.62408432
Milwaukee Ave & Rockwell St,2421,41.920195,-87.693033
Milwaukee Ave & Wabansia Ave,4972,41.912616,-87.681391
Montrose Harbor,11004,41.963982,-87.638181
Morgan Ave & 14th Pl,3875,41.862378,-87.651062
Morgan St & 18th St,3217,41.858086,-87.651073
Morgan St & 31st St,1579,41.8378,-87.65114
Morgan St & Lake St,7389,41.885483308000005,-87.652304856
Morgan St & Polk St,7732,41.871737,-87.65103
Noble St & Milwaukee Ave,6861,41.90068,-87.6626
Normal Ave & Archer Ave,1079,41.849527,-87.640591
Ogden Ave & Chicago Ave,6474,41.896362458,-87.654061273
Ogden Ave & Congress Pkwy,2660,41.87501,-87.67328
Ogden Ave & Race Ave,5270,41.891795,-87.658751
Orleans St & Merchandise Mart Plaza,18349,41.888243,-87.63639
Paulina St & 18th St,3275,41.857901,-87.668745
Paulina St & Montrose Ave,1869,41.961507,-87.671387
Peoria St & Jackson Blvd,12980,41.877749,-87.649633
Pine Grove Ave & Irving Park Rd,9754,41.954383,-87.648043
Pine Grove Ave & Waveland Ave,9929,41.949275,-87.646303
Prairie Ave & Garfield Blvd,1007,41.794853,-87.618691
Racine Ave & 13th St,773,41.865054,-87.656959
Racine Ave & 15th St,2313,41.861267,-87.656625
Racine Ave & 18th St,1848,41.858166,-87.65649499999998
Racine Ave & Belmont Ave,6590,41.939743,-87.658865
Racine Ave & Congress Pkwy,3851,41.87464,-87.65703
Racine Ave & Fullerton Ave,5498,41.92556258,-87.65840426
Racine Ave & Wrightwood Ave,4060,41.928887,-87.658971
Ravenswood Ave & Berteau Ave,3076,41.957921,-87.673567
Ravenswood Ave & Irving Park Rd,3436,41.95469,-87.67393
Ravenswood Ave & Lawrence Ave,4659,41.96909,-87.674237
Rhodes Ave & 32nd St,2141,41.836208,-87.61353299999998
Sedgwick St & Huron St,7153,41.894666,-87.638437
Sedgwick St & North Ave,8915,41.911386,-87.638677
Sedgwick St & Schiller St,2239,41.907626,-87.638566
Sedgwick St & Webster Ave,12196,41.922167,-87.638888
Seeley Ave & Roscoe St,3501,41.943403,-87.679618
Sheffield Ave & Fullerton Ave,11601,41.925601881999995,-87.653708042
Sheffield Ave & Kingsbury St,8136,41.910522,-87.65310600000002
Sheffield Ave & Webster Ave,7910,41.92154,-87.653818
Sheffield Ave & Wellington Ave,10661,41.936266,-87.652662
Sheffield Ave & Willow St,6603,41.913688,-87.652855
Sheffield Ave & Wrightwood Ave,7397,41.928712,-87.65383299999998
Sheridan Rd & Buena Ave,4838,41.958494,-87.654966
Sheridan Rd & Irving Park Rd,11090,41.954245,-87.65440600000002
Sheridan Rd & Lawrence Ave,2175,41.969517,-87.654691
Sheridan Rd & Montrose Ave,6521,41.96167,-87.65464
Southport Ave & Belmont Ave,5484,41.93949,-87.66378
Southport Ave & Clark St,2533,41.957081,-87.664199
Southport Ave & Clybourn Ave,5968,41.920771,-87.663712
Southport Ave & Irving Park Rd,4493,41.954177,-87.664358
Southport Ave & Roscoe St,10385,41.943739,-87.66402
Southport Ave & Waveland Ave,8077,41.94815,-87.66394
Southport Ave & Wellington Ave,9269,41.935733,-87.663576
Southport Ave & Wrightwood Ave,6780,41.928773,-87.663913
State St & 19th St,2900,41.856594,-87.627542
State St & 29th St,602,41.841707,-87.626938
State St & 33rd St,2892,41.83473400000001,-87.625813
State St & 35th St,1789,41.8309,-87.62803000000002
State St & Harrison St,8815,41.874053,-87.627716
State St & Kinzie St,18986,41.889187,-87.62775400000002
State St & Pearson St,7490,41.897448,-87.628722
State St & Randolph St,14128,41.884730200999996,-87.627733569
State St & Van Buren St,12013,41.877181,-87.627844
Stave St & Armitage Ave,1777,41.917741,-87.69139200000002
Stetson Ave & South Water St,12233,41.886835,-87.62232
