start_station_name,trip_count,latitude,longitude
Clarendon Ave & Gordon Ter,7388,41.957879,-87.649519
Clarendon Ave & Junior Ter,5002,41.961004,-87.649603
Clarendon Ave & Leland Ave,3817,41.967968,-87.650001
Clark St & 9th St (AMLI),4283,41.870816,-87.63124599999998
Clark St & Armitage Ave,19848,41.918306,-87.636282
Clark St & Berwyn Ave,7269,41.977996654,-87.668047105
Clark St & Bryn Mawr Ave,4150,41.983593,-87.669154
Clark St & Chicago Ave,10827,41.89675,-87.63089000000002
Clark St & Columbia Ave,1910,42.004450629000004,-87.672402405
Clark St & Drummond Pl,12849,41.931248,-87.644336
Clark St & Elm St,23368,41.902973,-87.63128
Clark St & Elmdale Ave,2117,41.990887,-87.669758
Clark St & Grace St,7394,41.95078,-87.659172
Clark St & Jarvis Ave,782,42.015963,-87.675005
Clark St & Lake St,16580,41.886020828,-87.630876058
Clark St & Leland Ave,4664,41.96709600000001,-87.667429
Clark St & Lincoln Ave,17883,41.915689,-87.6346
Clark St & Lunt Ave,3097,42.009074,-87.67419
Clark St & Montrose Ave,4236,41.961588,-87.666036
Clark St & Newport St,194,41.94454,-87.654678
Clark St & North Ave,9212,41.911974,-87.63194200000002
Clark St & Randolph St,16427,41.884576228,-87.63188991
Clark St & Schiller St,12117,41.907993,-87.631501
Clark St & Schreiber Ave,1371,41.999251822,-87.671377339
Clark St & Touhy Ave,459,42.012560115,-87.674367115
Clark St & Wellington Ave,11192,41.936496821999995,-87.64753865799999
Clark St & Winnemac Ave (Temp),5966,41.973255,-87.6697
Clark St & Wrightwood Ave,15237,41.929546,-87.643118
Clifton Ave & Armitage Ave,7051,41.918216,-87.656936
Clinton St & 18th St,2238,41.85795,-87.640826
Clinton St & Jackson Blvd (*),3061,41.878419,-87.640977
Clinton St & Lake St,23175,41.885637,-87.641823
Clinton St & Madison St,51692,41.882242,-87.64106600000002
Clinton St & Polk St (*),2118,41.871466518000005,-87.64094913299999
Clinton St & Roosevelt Rd,5959,41.867117783000005,-87.64108795899998
Clinton St & Tilden St,6998,41.875885,-87.640795
Clinton St & Washington Blvd,48669,41.88338,-87.64116999999997
Clybourn Ave & Division St,6550,41.904613,-87.640552
Columbus Dr & Randolph St,35342,41.884728,-87.61952099999998
Commercial Ave & 83rd St,38,41.744615,-87.551208
Conservatory Dr & Lake St,565,41.885502,-87.71686600000002
Cornell Ave & Hyde Park Blvd,5193,41.802406,-87.586924
Cornell Dr & Hayes Dr,1,41.780595,-87.584846
Cottage Grove Ave & 43rd St,497,41.816499,-87.60658199999997
Cottage Grove Ave & 47th St,845,41.809855,-87.606755
Cottage Grove Ave & 51st St,703,41.803038,-87.606615
